time,V(sw),I(Rmotor),I(Dfly)
0.000000000000000e+00,1.199999999963581e+01,2.276001609402556e-11,0.000000000000000e+00
9.999999960041972e-12,1.199999999963590e+01,2.486888472930104e-11,7.815970093361102e-13
1.999999992008394e-11,1.199999999963594e+01,2.486888472930104e-11,8.171241461241152e-13
3.999999984016789e-11,1.199999999963602e+01,2.486888472930104e-11,7.815970093361102e-13
7.999999968033578e-11,1.199999999963617e+01,2.486899575160351e-11,7.105427357601002e-13
1.599999993606716e-10,1.199999999963646e+01,2.486899575160351e-11,7.460698725481052e-13
3.199999987213431e-10,1.199999999963700e+01,2.486899575160351e-11,6.039613253960852e-13
6.399999974426862e-10,1.199999999963805e+01,2.486888472930104e-11,7.460698725481052e-13
1.279999994885372e-09,1.199999999964047e+01,2.486899575160351e-11,7.460698725481052e-13
2.559999989770745e-09,1.199999999964539e+01,2.486877370699858e-11,7.815970093361102e-13
5.119999979541490e-09,1.199999999965566e+01,2.486888472930104e-11,8.526512829121202e-13
1.023999995908298e-08,1.199999999967612e+01,2.486855166239366e-11,7.460698725481052e-13
1.281291001371595e-08,1.199999999968513e+01,2.486821859548627e-11,6.750155989720952e-13
1.795873012298191e-08,1.199999999970313e+01,2.486777450627642e-11,7.460698725481052e-13
1.935870164314311e-08,1.199999999970767e+01,2.486766348397396e-11,5.329070518200751e-13
2.015647492225522e-08,1.199998109696102e+01,3.242650592483187e-11,-9.245960725934310e-06
2.054419775122694e-08,1.199985387559689e+01,6.454581313874996e-11,-1.164711671819418e-04
2.079826989131325e-08,1.199961311037184e+01,1.324981235839573e-10,-2.518848166843668e-04
2.106800215666887e-08,1.199912827692381e+01,3.027263995036833e-10,-4.520697908461102e-04
2.131358284035968e-08,1.199841823434524e+01,6.046991796182510e-10,-6.848515412016809e-04
2.162528726855393e-08,1.199704695590098e+01,1.312825959054464e-09,-1.049630375256072e-03
2.196852081482154e-08,1.199479517074853e+01,2.715094371552595e-09,-1.540974656180083e-03
2.240428981132595e-08,1.199055818386127e+01,5.910578360079910e-09,-2.300120941249872e-03
2.290769685754081e-08,1.198333065854715e+01,1.249000203262796e-08,-3.365470133225301e-03
2.353488722931364e-08,1.197002830883437e+01,2.712950863958952e-08,-4.975090329644161e-03
2.427371354066709e-08,1.194684809956799e+01,5.785913426148426e-08,-7.272657618067058e-03
2.517995168005037e-08,1.190458410246913e+01,1.252189723022212e-07,-1.068317811018460e-02
2.625316339884777e-08,1.182959929487173e+01,2.679293256147020e-07,-1.556503806359189e-02
2.754686897169453e-08,1.169231540096488e+01,5.773086672045125e-07,-2.266298981606241e-02
2.906392416820513e-08,1.144280629749301e+01,1.233570247505256e-06,-3.267241814157273e-02
3.084199564184085e-08,1.097669372270862e+01,2.639102211321465e-06,-4.671542510696014e-02
3.286871802452895e-08,1.009000237861216e+01,5.612351392847437e-06,-6.575618355821433e-02
3.512937651254448e-08,8.384645374708814e+00,1.185920788016048e-05,-9.079592620832244e-02
