time,V(vin_12v),V(vsense_adc),V(vsense_raw)
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
9.999999439624929e-11,1.199999932754992e-06,2.438491542187083e-14,1.146093527543559e-08
1.999999887924986e-10,2.399999865509983e-06,7.315474393483271e-14,2.292189384031771e-08
3.999999775849972e-10,4.799999731019966e-06,2.194642224813794e-13,4.584385754897056e-08
7.999999551699943e-10,9.599999462039932e-06,8.047020527595120e-13,9.168806443955453e-08
1.599999910339989e-09,1.919999892407986e-05,3.145652646669160e-12,1.833775961133012e-07
3.199999820679977e-09,3.839999784815973e-05,1.250944909281165e-11,3.667611310268353e-07
6.399999641359955e-09,7.679999569631946e-05,4.996458721772829e-11,7.335460870838745e-07
1.279999928271991e-08,1.535999913926389e-04,1.997847579937848e-10,1.467187543844299e-06
2.559999856543982e-08,3.071999827852778e-04,7.990623864321320e-10,2.934756633762246e-06
5.119999713087964e-08,6.143999655705557e-04,3.196148461356778e-09,5.871039501680462e-06
1.023999942617593e-07,1.228799931141111e-03,1.278429725145847e-08,1.174818384980154e-05
2.047999885235186e-07,2.457599862282223e-03,5.113532840173651e-08,2.352078587488670e-05
4.095999770470371e-07,4.915199724564445e-03,2.045269420882882e-07,4.713923427905144e-05
8.191999540940742e-07,9.830399449128890e-03,8.179933283783424e-07,9.466903682812224e-05
1.638399908188148e-06,1.966079889825778e-02,3.271058627938299e-06,1.908996917397926e-04
3.276799816376297e-06,3.932159779651556e-02,1.307692269121106e-05,3.880406196576548e-04
6.553599632752594e-06,7.864319559303112e-02,5.224927902370493e-05,8.010043630618479e-04
1.310719926550519e-05,1.572863911860622e-01,2.085311357159035e-04,1.701367749719356e-03
2.310719926550519e-05,2.772863911860622e-01,6.459898716180306e-04,3.265265375094575e-03
3.310719926550519e-05,3.972863911860622e-01,1.321976497361692e-03,5.056975275875574e-03
4.310719926550518e-05,5.172863911860622e-01,2.234221939210531e-03,7.074330314075739e-03
5.310719926550518e-05,6.372863911860622e-01,3.380478708726346e-03,9.315183967309803e-03
6.310719926550518e-05,7.572863911860621e-01,4.758520697431959e-03,1.177741013268127e-02
7.310719926550518e-05,8.772863911860622e-01,6.366142973427419e-03,1.445890293253545e-02
8.310719926550518e-05,9.972863911860621e-01,8.201161579940958e-03,1.735757652206023e-02
9.310719926550518e-05,1.117286391186062e+00,1.026141333579630e-02,2.047136489871726e-02
1.031071992655052e-04,1.237286391186062e+00,1.254475563777808e-02,2.379822171348585e-02
1.131071992655052e-04,1.357286391186062e+00,1.504906626487732e-02,2.733612008390253e-02
1.231071992655052e-04,1.477286391186062e+00,1.777224318439915e-02,3.108305240887915e-02
1.331071992655052e-04,1.597286391186062e+00,2.071220435991485e-02,3.503703018528255e-02
1.431071992655052e-04,1.717286391186062e+00,2.386688756104098e-02,3.919608382625904e-02
1.531071992655052e-04,1.837286391186062e+00,2.723425017502793e-02,4.355826248128726e-02
1.631071992655052e-04,1.957286391186062e+00,3.081226902014081e-02,4.812163385794264e-02
1.731071992655052e-04,2.077286391186062e+00,3.459894016081566e-02,5.288428404535761e-02
1.831071992655052e-04,2.197286391186062e+00,3.859227872457405e-02,5.784431733936102e-02
1.931071992655052e-04,2.317286391186062e+00,4.279031872067923e-02,6.299985606928107e-02
2.031071992655052e-04,2.437286391186062e+00,4.719111286051752e-02,6.834904042639581e-02
2.131071992655052e-04,2.557286391186062e+00,5.179273237968831e-02,7.389002829401560e-02
2.231071992655052e-04,2.677286391186062e+00,5.659326686178646e-02,7.962099507918186e-02
2.331071992655052e-04,2.797286391186062e+00,6.159082406386105e-02,8.554013354596693e-02
2.431071992655052e-04,2.917286391186062e+00,6.678352974353455e-02,9.164565365035972e-02
2.531071992655052e-04,3.037286391186062e+00,7.216952748776652e-02,9.793578237672206e-02
2.631071992655052e-04,3.157286391186062e+00,7.774697854324628e-02,1.044087635758007e-01
2.731071992655052e-04,3.277286391186062e+00,8.351406164839900e-02,1.110628578042805e-01
2.831071992655052e-04,3.397286391186063e+00,8.946897286698996e-02,1.178963421658637e-01
2.931071992655053e-04,3.517286391186063e+00,9.560992542331155e-02,1.249075101538610e-01
3.031071992655053e-04,3.637286391186064e+00,1.019351495389382e-01,1.320946714952801e-01
3.131071992655053e-04,3.757286391186064e+00,1.084428922710345e-01,1.394561519963979e-01
3.231071992655053e-04,3.877286391186064e+00,1.151314173522007e-01,1.469902933898004e-01
3.331071992655054e-04,3.997286391186064e+00,1.219990050318428e-01,1.546954531828791e-01
3.431071992655054e-04,4.117286391186065e+00,1.290439519190507e-01,1.625700045077682e-01
3.531071992655054e-04,4.237286391186065e+00,1.362645708269713e-01,1.706123359727083e-01
3.631071992655055e-04,4.357286391186065e+00,1.436591906186627e-01,1.788208515148260e-01
3.731071992655055e-04,4.477286391186065e+00,1.512261560544139e-01,1.871939702543124e-01
3.831071992655055e-04,4.597286391186066e+00,1.589638276405171e-01,1.957301263499894e-01
3.931071992655055e-04,4.717286391186066e+00,1.668705814794791e-01,2.044277688562495e-01
4.031071992655056e-04,4.837286391186066e+00,1.749448091216567e-01,2.132853615813572e-01
4.131071992655056e-04,4.957286391186067e+00,1.831849174183049e-01,2.223013829470983e-01
4.231071992655056e-04,5.077286391186068e+00,1.915893283760215e-01,2.314743258497636e-01
4.331071992655056e-04,5.197286391186068e+00,2.001564790125768e-01,2.408026975224553e-01
4.431071992655057e-04,5.317286391186068e+00,2.088848212141157e-01,2.502850193987040e-01
4.531071992655057e-04,5.437286391186069e+00,2.177728215937171e-01,2.599198269773824e-01
4.631071992655057e-04,5.557286391186068e+00,2.268189613512990e-01,2.697056696889039e-01
4.731071992655057e-04,5.677286391186069e+00,2.360217361348567e-01,2.796411107626943e-01
4.831071992655058e-04,5.797286391186069e+00,2.453796559030206e-01,2.897247270959248e-01
4.931071992655058e-04,5.917286391186069e+00,2.548912447889220e-01,2.999551091234925e-01
5.031071992655058e-04,6.037286391186070e+00,2.645550409653534e-01,3.103308606892388e-01
5.131071992655058e-04,6.157286391186070e+00,2.743695965112113e-01,3.208505989183921e-01
5.231071992655059e-04,6.277286391186070e+00,2.843334772792107e-01,3.315129540912249e-01
5.331071992655059e-04,6.397286391186070e+00,2.944452627648563e-01,3.423165695179115e-01
5.431071992655059e-04,6.517286391186071e+00,3.047035459766616e-01,3.532601014145774e-01
5.531071992655060e-04,6.637286391186071e+00,3.151069333076020e-01,3.643422187805267e-01
5.631071992655060e-04,6.757286391186073e+00,3.256540444077906e-01,3.755616032766390e-01
5.731071992655060e-04,6.877286391186072e+00,3.363435120583653e-01,3.869169491049204e-01
5.831071992655060e-04,6.997286391186073e+00,3.471739820465762e-01,3.984069628892040e-01
5.931071992655061e-04,7.117286391186072e+00,3.581441130420600e-01,4.100303635569812e-01
6.031071992655061e-04,7.237286391186073e+00,3.692525764742927e-01,4.217858822223609e-01
6.131071992655061e-04,7.357286391186072e+00,3.804980564112075e-01,4.336722620701394e-01
6.231071992655061e-04,7.477286391186074e+00,3.918792494389668e-01,4.456882582409743e-01
6.331071992655062e-04,7.597286391186074e+00,4.033948645428793e-01,4.578326377176505e-01
6.431071992655062e-04,7.717286391186074e+00,4.150436229894484e-01,4.701041792124283e-01
6.531071992655062e-04,7.837286391186074e+00,4.268242582095439e-01,4.825016730554625e-01
6.631071992655062e-04,7.957286391186075e+00,4.387355156826841e-01,4.950239210842841e-01
6.731071992655063e-04,8.077286391186075e+00,4.507761528224193e-01,5.076697365343319e-01
6.831071992655063e-04,8.197286391186076e+00,4.629449388628057e-01,5.204379439305269e-01
6.931071992655063e-04,8.317286391186077e+00,4.752406547459587e-01,5.333273789798770e-01
7.031071992655063e-04,8.437286391186076e+00,4.876620930106763e-01,5.463368884651043e-01
7.131071992655064e-04,8.557286391186077e+00,5.002080576821217e-01,5.594653301392829e-01
7.231071992655064e-04,8.677286391186076e+00,5.128773641625561e-01,5.727115726214805e-01
7.331071992655064e-04,8.797286391186077e+00,5.256688391231098e-01,5.860744952933925e-01
7.431071992655065e-04,8.917286391186076e+00,5.385813203965838e-01,5.995529881969579e-01
7.531071992655065e-04,9.037286391186079e+00,5.516136568712703e-01,6.131459519329515e-01
7.631071992655065e-04,9.157286391186078e+00,5.647647083857845e-01,6.268522975605384e-01
7.731071992655065e-04,9.277286391186077e+00,5.780333456248954e-01,6.406709464977862e-01
7.831071992655066e-04,9.397286391186078e+00,5.914184500163487e-01,6.546008304231218e-01
7.931071992655066e-04,9.517286391186079e+00,6.049189136286708e-01,6.686408911777273e-01
8.031071992655066e-04,9.637286391186079e+00,6.185336390699445e-01,6.827900806688625e-01
8.131071992655066e-04,9.757286391186078e+00,6.322615393875484e-01,6.970473607741084e-01
8.231071992655067e-04,9.877286391186081e+00,6.461015379688494e-01,7.114117032465219e-01
